Country,Population,FDI 
Argentina,45.20,6663.06
Australia,25.50,40074.78
Brazil,212.60,73503.73
Canada,37.70,47845.28
Chad,16.40,566.64
Chile,19.10,11928.37
China,1439.30,155815.34
Colombia,50.90,14313.72
Qatar,2.90,-2812.64
Denmark,5.80,-7837.37
Dominican Republic,10.80,2824.50
Egypt,102.30,9010.10
France,65.30,51038.71
Germany,83.70,72211.52
Ghana,31.07,2318.80
Greece,10.42,4611.62
Haiti,11.40,75.00
Hungary,9.67,32049.97
Iceland,0.30,-480.91
India,1380.00,50610.65
Indonesia,273.50,24946.90
Israel,8.70,19047.10
Japan,126.50,37176.83
Malaysia,32.40,7650.47
Mexico,128.90,29360.17
Nepal,29.10,185.55
New Zealand,4.80,3875.01
Nigeria,206.10,3299.09
Pakistan,220.90,2218.00
Peru,32.90,8891.91
Poland,37.80,15973.00
Portugal,10.20,8270.97
Russia,145.90,31974.77
Saudi Arabia,34.80,4562.57
Senegal,16.70,983.34
Singapore,5.90,105465.62
Slovenia,2.10,1709.96
South Africa,59.30,4624.50
South Korea,51.30,10565.60
Spain,46.80,11431.91
Sweden,10.10,24397.86
Switzerland,8.70,-18382.53
Philippines,109.60,7685.34
Tanzania,59.70,1112.40
Turkey,84.30,8787.00
U.S.A.,331.00,351631.00
UAE,9.90,13787.47
United Kingdom,67.90,20696.99
Venezuela,28.40,934.00
Vietnam,97.30,16120.00